Processor ID,Designer,Processor Family,Processor Code Name,Microarchitecture,Processor Model,Processor Date,Processor Clock [MHz],Processor Clock (Max) [MHz],Threads/core,Cores,TDP,Instruction set width,Transistors (millions),Die size (mm^2),Voltage (low),Voltage (high),SpecInt1992 (average base),SpecFp1992 (average base),SpecInt1995 (average base),SpecFp1995 (average base),SpecInt2000 (average base),SpecFp2000 (average base),SpecInt2006 (average base),SpecFp2006 (average base),x400_perlbench,x401_bzip2,x403_gcc,x429_mcf,x445_gobmk,x456_hmmer,x458_sjeng,x462_libquantum,x464_h264ref,x471_omnetpp,x473_astar,x483_xalancbmk,x410_bwaves,x416_gamess,x433_milc,x434_zeusmp,x435_gromacs,x436_cactusadm,x437_leslie3d,x444_namd,x447_dealii,x450_soplex,x453_povray,x454_calculix,x459_gemsfdtd,x465_tonto,x470_lbm,x481_wrf,x482_sphinx3,L1 (unified) (on chip),L1 (instruction) (on chip),L1 (data) (on chip),L2 (on chip),Cores sharing L2 (on chip),L3 (on chip),Cores sharing L3 (on chip),L1 (unified) (off chip),L1 (instruction) (off chip),L1 (data) (off chip),L2 (off chip),Cores sharing L2 (off chip),L3 (off chip),Cores sharing L3 (off chip),Fabricated by,Process Name,Feature Size [microns],Channel length [microns],Metal layers,Metal type,FO4 Delay [ps],FO4 Delay Vdd [V],FO4 Source
102,AMD,Opteron,Santa Rosa,K8,2210,2006-08-01,1800.0,,1,2,95.0,64,227.4,230,1.3,1.35,,,,,1175.7125499032493,1458.473174247645,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64,64,1024,1,,,,,,,,,,AMD,,0.09,0.053,,,19.08,1.35,"mul(360,Leff)"
103,AMD,Opteron,Santa Rosa,K8,2212,2006-08-01,2000.0,,1,2,95.0,64,227.4,230,1.3,1.35,,,,,,,9.77,10.4,9.290000000000001,8.1,8.014998440424053,9.314987922697485,10.34987922634849,9.924998740554077,9.439994703388345,12.599603168354152,15.5,8.26,7.524985049819036,11.449890829173874,14.6,10.1,10.1,9.019994456761045,8.94499860257116,10.249878048055011,9.97499874686709,8.73499856897527,14.4,8.4699763872162,11.6,5.37,10.3,11.5,13.7,12.0,11.7,,64,64,1024,1,,,,,,,,,,AMD,,0.09,0.053,,,19.08,1.35,"mul(360,Leff)"
104,AMD,Opteron,Santa Rosa,K8,2214,2006-08-01,2200.0,,1,2,95.0,64,227.4,230,1.3,1.35,,,,,,,10.449880382090505,11.049886877249014,10.1,8.599976744154603,8.419994061755625,9.634967566110433,11.3,10.9,10.3,13.199621206686198,16.648123017325407,8.50994712086979,7.999943749802244,12.299999999999999,15.649920127591706,11.1,10.449880382090505,9.589953076006159,9.78,10.492378186092989,10.549881515922348,9.594998697238056,15.5,8.744964265221443,12.749901960407382,5.879991496592491,10.7,12.449899597988733,13.59852933224766,12.949903474543738,12.349898785010346,,64,64,1024,1,,,,,,,,,,AMD,,0.09,0.053,,,19.08,1.35,"mul(360,Leff)"
105,AMD,Opteron,Santa Rosa,K8,2216,2006-08-01,2400.0,,1,2,95.0,64,227.4,230,1.3,1.35,,,,,,,11.1,11.7,10.899999999999999,9.099989002925163,8.859939803955204,9.943275295869563,12.233242671129224,11.899999999999999,11.099999999999998,13.799999999999999,18.198711819625668,8.806657831781015,8.486665357080382,13.199999999999998,16.66659991084373,12.099999999999998,10.666562281964598,10.133223923487831,10.633229057479422,11.33085778302431,10.999999999999998,10.466560283086205,16.599999999999998,9.036658056724715,13.96658698513889,6.399994791662428,10.999999999999998,13.366583402431418,13.866586409586443,13.799999999999999,12.999999999999998,,64,64,1024,1,,,,,,,,,,AMD,,0.09,0.053,,,19.08,1.35,"mul(360,Leff)"
106,AMD,Opteron,Santa Rosa,K8,2218,2006-08-01,2600.0,,1,2,95.0,64,227.4,230,1.3,1.35,,,,,1664.3987269644097,1918.5756122896946,11.64869035472152,12.624727127931973,11.739386218991765,9.801860320607416,9.410851299067271,9.259761999082837,13.219482105061951,12.63688178024236,12.079933554542439,15.212646536600305,19.759736591127982,9.151584840236746,9.149140632778302,12.099470399711649,17.873676406586846,13.07492811475929,11.549673433755418,10.999772720228812,11.5,12.172867489757431,11.748169271577115,11.32491746109304,18.097678874619916,9.732222506614864,14.946516767046285,6.93499098772998,11.670104023433106,14.218640253977423,14.493646528550437,14.77408398922185,14.099822691690996,,64,64,1024,1,,,,,,,,,,AMD,,0.09,0.053,,,19.08,1.35,"mul(360,Leff)"
107,AMD,Opteron,Santa Rosa,K8,2220,2007-02-01,2800.0,,1,2,95.0,64,227.4,230,1.3,1.35,,,,,1760.725702657855,1983.3350700272506,12.183535741957082,13.11013579491956,12.536199678609545,10.2372627131464,9.750509282733256,9.344068913440816,14.061704113540682,13.557572322946292,12.811864751765032,15.493129351736302,21.086938869667396,9.510941829681506,9.44169446067447,12.704902888720184,18.487773753834354,14.05507152441288,11.57675331082512,11.433042526434559,12.344253831433504,12.763874498473193,12.085323906925934,12.166575174975554,18.90909843478964,9.823667557405347,16.01782452449583,7.436653230011918,11.791918240589153,14.899509814015348,14.845718643307345,15.464348073557673,14.410690841030426,,64,64,1024,1,,,,,,,,,,AMD,,0.09,0.053,,,19.08,1.35,"mul(360,Leff)"
108,AMD,Opteron,Santa Rosa,K8,2222,2007-08-01,3000.0,,1,2,95.0,64,227.4,230,1.3,1.35,,,,,,,14.293836757250206,14.991724646815284,12.956708523309652,11.239176443020998,10.519733397464151,13.836839201551065,15.019152833990324,18.66132544669268,14.079086992099215,24.321878222982722,21.913367219939815,10.23812445210873,10.459501956120612,15.168708989941612,25.336865239557927,15.73111308597824,13.034626921949696,12.862413869424543,13.079033179550155,15.69757634531885,11.98415822822583,14.071110709814171,16.713256555833894,11.563128148085156,17.297295827633008,12.366686946226048,14.638922702295968,15.703792805854281,16.433786082936372,16.918678129149217,15.89745982746224,,64,64,1024,1,,,,,,,,,,AMD,,0.09,0.053,,,19.08,1.35,"mul(360,Leff)"
109,AMD,Opteron,Barcelona,K8,2350,2007-09-01,2000.0,,1,4,95.0,64,463.0,285,,1.2,,,,,,,11.541230437002808,13.654303350958628,9.93659901575987,8.492526125953338,8.913080275639842,11.048981853546506,9.687104830649869,13.29962405483704,10.182484961933408,40.024992192379,15.832245576670417,9.143680878070931,8.31984975825886,10.348912986396204,25.676448352527263,11.589219128138012,13.538833036861043,11.599568957508723,9.400797838481584,33.54906854146624,12.449899597988733,8.78207264829892,14.147791347061915,9.148497144340157,12.249081598226049,12.037441588643327,16.516658257650064,11.7983049630021,14.939879517586478,15.773712308775002,13.971041478715895,,64,64,512,1,2048,,,,,,,,,AMD,,0.065,0.035,10,copper,12.6,1.2,"mul(360,Leff)"
110,AMD,Opteron,Barcelona,K8,2356,2008-04-01,2300.0,,1,4,95.0,64,463.0,285,,1.2,,,,,,,12.855859723647283,15.34699899294881,11.034516757169815,9.694434478890852,10.006375164132297,11.761775149436442,11.133165502982415,15.015670545847016,11.736800717480191,41.64113058222435,17.973579905320268,10.340816461209323,9.420938598674597,11.481370226683087,28.871203092611797,13.381934711188634,15.786367524790098,13.270161746260314,10.862523278752706,41.87221870530285,13.20448026252357,9.411364825268704,15.879548402681191,10.397117732949912,13.811178267419633,13.926273493353328,17.559591336145438,13.2494697444732,15.5460039990248,18.054506820950813,15.203075592169148,,64,64,512,1,2048,,,,,,,,,AMD,,0.065,0.035,10,copper,12.6,1.2,"mul(360,Leff)"
111,AMD,Opteron,Shanghai,K8,2384,2008-11-01,2700.0,,1,4,115.0,64,,,,1.35,,,,,,,17.29188708359129,19.066140097498014,15.538187082297194,13.361218232077867,14.423338957132623,19.400164954439063,13.876637953601936,18.799835893487256,14.692231132518499,43.211749078995076,23.968092792715844,14.315677561461122,12.8177384696835,16.827363079142412,25.73147186897715,16.637364081439944,20.72906431095387,16.489996334457803,15.097414866363156,21.249167657535168,18.76251472913285,12.891255650210335,21.32822911326472,15.17042469679772,17.475641969284553,18.20729370058858,17.947564907993993,17.184442832616945,30.437413869931714,22.181635010398683,23.997948285922302,,64,64,512,1,6144,,,,,,,,,AMD,,0.045,0.025,,,9.0,1.35,"mul(360,Leff)"
