developer,votes
MythicOwl,112
Robert Alvarez,112
Iron 27,111
DreamGate,110
Victorian Clambake,110
Abyte Entertainment,110
Aero Games,109
SC Jogos,109
Kerry Fawdray,109
Pixel Forge Games,109
Studio Eres,108
Red Beat,108
Zeal Game Studio,108
Gabriel Priske,107
inbetweengames,107
Membraine Studios,107
Alawar,107
SDEnterNET,107
Rubicon Development,107
On Target Simulations,106
Ideas Pad,106
Other Ocean Interactive,106
The Snarktopus,106
Tower Games,106
Sproing,104
Deimos Games,104
Tactic Studios Inc.,104
Cranktrain,103
Binogure Studio,103
Pixel Federation,102
Birdwall Games,102
オートリ電子,102
Rock Nano Global,101
MDickie,101
Zono,100
4HEAD Studios,100
PIXOWL INC.,100
TREON Games,100
Fatshark,100
Subsoap,99
Level 99 Games,99
Vulgat,98
Andy Sztark,98
Weird and Wry,98
314 Arts,98
The Lordz Games Studio,98
Praxia Entertainment Inc,97
上海班图网络科技有限公司,97
General Interactive Co.,97
Lightmare Studio,97
Shadow Masters,97
YarGri,96
Rogue Moon Studios,96
Wolfgangis,95
Bearded Bunnies,94
Exkee,94
HandyGames,94
Owlchemy Labs,93
Tabletopia Inc.,93
Secret Sorcery Limited,93
Apus Software,93
Mozg Labs,93
Synapse Games,92
CyberphobX Ltd.,92
Polar Bunny Ltd,92
Hyperkinetic Studios,92
Tom Johnson,92
狼皮羊工作室,91
Linkflag,91
Humongous Entertainment,91
Spaces of Play,91
Flying Star Games,91
Jon Sudbury Games,91
Kubat Software,90
Krafted Games,90
Everguild Ltd.,90
From The Bard,90
Sirlin Games,89
varlamov5264,89
CM Softworks,89
S-Game,88
KirUn,88
Barking Dog Studios,88
Blue Fiddich制作组,88
Ejoy Games,87
Elliott Marc Jones,87
Unknown Origin Games Inc,87
Ino-Co,87
Turtle Juice,87
Flat Cat Games,87
Huy Phan,87
Tamamo Studio,87
Pipeworks Studios,87
KicklessGame,87
Luden.io,87
不公开,87
Sun Dogs,87
HB Studios Multimedia Ltd.,87
Double Eleven,86
Laboratory Systems,86
Ripatti Software,86
Panther Games,86
Rasmus Ljunggren,86
Jakal Studios,85
One Man Left Studios,85
Little Worlds Interactive,85
DQ Team,84
"Pixel Prototype, LLC",84
ExDevs LTD,84
游学者狐狸,84
Caravel Games,84
KING Art,83
ManaVoid Entertainment Inc.,83
Silver Lemur Games,83
E McNeill,82
Fakedice,81
Skydome Entertainment,81
AREA 35,81
Wang Wenxi,81
Bitmen Studios,81
Autarca,80
Solecismic Software,80
Calvin Weibel,79
Chaos Concept,79
SuperTry Studios,79
Temple Gates Games,78
BitBreak I/S,78
NorbSoftDev,78
EternalShadow Studios,78
Touch Dimensions Interactive,78
Secret Level SRL,78
Shenandoah Studio,78
James Patton,78
Extend Studio,78
Moonpod,78
"Chengdu Touch Times Technology Co., Ltd",77
bumblebee,77
IriySoft,77
WayForward,77
Frima Studio,77
HexWar Games,76
Reconnect Software,76
Proper Games,76
Romero Games Ltd.,76
GoldenGod Games,76
"""Andrew """"Versus"""" Larionov""",75
Stormregion,75
Drakeling Labs,75
The Game Bakery,75
ZeroBit Games,75
Torrey Daniel,74
SOFTSTAR ENTERTAINMENT INC.,74
SPVD,74
Kurechii,74
Growl Interactive,74
Big Moustache Games,74
Skatanic Studios,74
Lightbulb Crew,74
Jérôme Bodin,73
Solar Sails Games,73
McMagic Productions,73
"Riposte Games & Co, Inc",73
Teal Fire,73
Team Colorblind,72
Michael Brough,72
BTNcafe,72
Argus Games,72
Magic Tavern,72
Sirius Sam,72
Cat Rabbit,72
goonswarm,72
Foggybus,71
Pon Pon Games,71
HYDEZEKE,71
Kraftix Games,71
Glowstick Entertainment,71
React Games,70
Plain Concepts Corp,70
Kel,70
Checkmaty,70
LUCKY GIRLS LIMITED,70
"Black Chicken Studios, inc.",70
Greenolor Studio,69
Mains Digitales Interactive,69
Whiterra,69
Elefantopia,69
SolarLance,69
K-D Lab,69
DiP Online,69
Galulugame,68
Oxeye Game Studio,68
Fedora Collective,68
Holgersson Entertainment,68
Altar Interactive,68
GUTS Department,67
Z4,67
Zero Sum Games,67
Kew McParlane,67
Sixth Vowel,67
Harpoon Games,67
Dark Fox,67
SP Digital Arts Inc.,67
Veslo Games,67
Good Games,66
Red Dolphin Games,66
L3O Interactive,66
Lunar Giant,66
清之鸣,66
Dancing Developers,66
Loser/s,65
Steel Wool Studios,65
Golden Gear Games,65
Startreming,65
Fuero Games,65
Appliks Apps Studios,65
Airborne Games,64
Littlewitch,64
16bit Nights,64
Cardboard Keep,63
Studio Chahut,63
True Illusion Software,63
Angry Rabbit Studios,63
Alister Software,62
"Parody Games, LLC",62
ARC SYSTEM WORKS,62
Lazy Monday Games,62
First Games Interactive,62
Chocoarts,62
Autotelic Games LLC,61
Leaghorn,61
Bowlcut Studios,61
Lost Tower Games,61
Fallen Tree Games Ltd,60
AP Thomson,60
One Wheel Studio,60
Dragon Foundry,60
KoromoSoft,60
Underbite Games,59
Flox Studios Ltd.,59
MTR,59
"Laser Guided Games, LLC",59
Whale Hammer Games,58
SugarHyped,58
Rionix,58
Deepred,58
Overly Complicated Games,58
Aratog LLC,58
Tiny RTS,58
FrozenShard Games,57
Mousechief,57
Pouchmouse,57
Strategic Designs Ltd.,57
Cult Software,57
DarkArts Studios,57
梵天游戏,57
Charyb Games,56
SmallSqurriel,56
Loria,56
Primary cells studio,56
Microsoft Game Studios,56
Toydea Inc.,56
OneShark,56
Roest,56
Permafrost Studio,56
Rockgames,56
Origin8,56
Factus Games,55
Stephane Bottin,55
LAN - GAMES EOOD,55
Windforce,55
Frogdice,55
G5 Software,55
Dark Artz Entertainment,55
Farbs,54
Orphic Software,54
Bulldog Interactive,54
Squeaky Wheel,54
Dan Smith Studios,54
Just A Pixel Ltd.,54
Screenhit Studios,54
PlayFusion,54
Ludosity,54
晨风工坊/DAWNWING SHOP,53
Sinister Design,53
Digital Reality,53
Oubliette,53
North Star Digital Studios,53
Craftven,53
ImaginationOverflow,53
Games for May,52
Endi Milojkoski,52
RetroEpic Software,52
TrickeySoft LLC,52
Nikita,52
Tryzna83,52
Sinkhole Studio,51
Cypron Interactive,51
SEKTOR GAMES,51
Virtual Top,51
IBOLOGY LLC,51
Interplay Entertainment Corp.,51
"Fair Weather Studios, LLC",51
Alaric von Teplitz,51
rokapublish,51
Chris Antoni,51
TriHelix LLC,51
"Marvelous, Inc.",51
Farlight Games Industry,50
Myarcadegames Studios,50
Specter Game Studios,50
