developer,votes
"BadFly Interactive, a.s.",2531
MercurySteam,2522
MyACG Studio,2512
Gaddy Games,2492
S2 Games,2480
The Molasses Flood,2473
Chongming Studio,2470
O.T.K Games,2469
Downpour Interactive,2454
Spiders,2445
Sos Sosowski,2419
Haydee Interactive,2413
Room710Games,2411
Elecorn,2409
Arkedo,2391
SOFF Games,2361
Barrel Roll Games,2353
Looking Glass Studios,2338
DL Softworks,2314
TT Games,2301
The Gentlebros,2295
Big Robot Ltd,2282
Deck13,2271
"Spike Chunsoft Co., Ltd.",2254
Silent Dreams,2241
Agafonoff,2239
I-Illusions,2232
KHB-Soft,2224
Iron Galaxy,2218
Infinity Plus 2,2210
Codename Entertainment Inc.,2209
Digital Sun,2202
The Chinese Room,2193
FRENCH-BREAD,2186
devCAT,2186
Avocavo,2183
Puppygames,2182
Supra Games,2180
AQURIA,2153
Le Cartel Studio,2140
ProGames Studio,2138
Code}{atch,2131
Gamepires,2130
Eugen Systems,2125
DiezelPower,2122
Pathea Games,2118
Team17 Digital Ltd,2116
Rati Wattanakornprasit,2116
Game in a Bottle,2091
Anisoptera Games,2085
Bitbox Ltd.,2073
Two Tribes,2068
Egosoft,2042
Blackpowder Games,2023
Microblast Games,2014
Subvert Games,2008
Indimo Labs LLC,2000
Bare Mettle Entertainment,1998
2Play,1992
Animu Game,1979
QUICKTEQUILA,1957
David Stark,1955
JIW-Games,1952
Modern Dream,1950
SeithCG,1946
All Seeing Eye Games,1942
Gunfire Games,1934
Berzerk Studio,1917
Zenith Blue,1916
Survios,1907
D.C.S,1899
CI Games,1898
Ian Campbell,1894
Shawn Hitchcock,1893
EightyEightGames,1860
Final Form Games,1852
Edelweiss,1851
Saibot Studios,1847
Ludosity,1841
Electronic Arts,1839
Hello There AB,1834
Rocket Bear Games,1827
Robert Yang,1823
Forever Entertainment S. A.,1819
Cosmic Cow LLC,1805
Askiisoft,1804
TEAM HORAY,1799
Compulsion Games,1798
Test3 Projects,1797
MAGES. Inc.,1795
Snail Games USA,1789
WEBZEN Inc.,1785
Drool,1784
Matt Thorson,1781
TreeFortress Games,1781
Leafy Games,1777
Lino Slahuschek,1775
PixelFade Inc,1774
Data Realms,1771
Nimbly Games,1765
Asteroid Base,1765
Studio Pixel,1764
"Vblank Entertainment, Inc.",1762
Sabotage,1756
Black Shell Games,1755
Spooky Squid Games Inc.,1753
Tasharen Entertainment Inc.,1745
"Just Add Water (Developments), Ltd.",1736
Illusion Softworks,1718
Wyrmbyte,1714
