developer,votes
Prideful Sloth,1298
Dambuster Studios,1294
Insanity Games,1281
SkyGoblin,1274
Reperio Studios,1273
Fayju,1272
Artifice Studio,1271
Introversion Software,1256
Kinto Games LLC,1253
Marxnet,1244
Meta Interaction,1241
Tap It Games,1240
Pixel Crow,1237
Lose,1235
Videocult,1234
VaragtP,1233
D.K Studio,1233
致意,1231
MinMax Games Ltd.,1230
Pendulo Studios,1226
EfimovMax,1224
Owlet,1218
Mehsoft,1218
Cloudhead Games ltd.,1215
Lingtan Studio,1210
Bithell Games,1199
Ben Esposito,1197
Deadpan Games,1197
Cardboard Computer,1196
Bob,1195
Forgotten Key,1189
Ed Key and David Kanaga,1188
Holyday Studios,1188
Akaba Studio,1186
BetaDwarf,1183
Just1337 Studio,1179
Sketchy Logic,1175
Zeiva Inc,1163
iBlackpen,1156
"BitMonster, Inc.",1153
tinyBuild,1152
Game Developer X,1148
Restory Studio,1140
Pixile,1139
Subworld,1133
"Wevr, Inc.",1130
Rising Star Games,1122
WarpFrog,1121
Aldin Dynamics,1109
Clifftop Games,1102
Neople,1102
Swing Swing Submarine,1094
Turning Wheel LLC,1093
Ostrich Banditos,1088
Game-Labs,1088
"Schine, GmbH",1080
Kaigan Games OÜ,1079
Joshua Neurnberger,1071
WildTangent,1068
Parabole,1068
"Nippon Ichi Software, Inc.",1065
Jake Hollands,1062
People Can Fly,1062
SFB Games,1061
Playata GmbH,1046
Russian Fishing,1041
Daniel Jonathan Bourke,1036
ebi-hime,1033
A.Y.std,1033
Andy Wallace,1032
David Wehle,1031
Gaijin Entertainment Corporation,1030
"Standing Stone Games, LLC",1022
Joakim Sandberg,1019
Kitfox Games,1018
Square Enix Montréal,1016
Access Games,1007
Ocelot Society,1004
Racing Bros,1000
Supra Games,1000
Archive Entertainment,995
Trinket Studios,991
CyberLight Game Studio,990
Cosmo D,990
Infinitap Games,988
Labyrinthine,984
ZackBellGames,978
Big Bad Wolf,978
Saibot Studios,972
Outerminds Inc.,970
Question,965
SadSquare Studio,961
St. Michael's Girls School,953
Zadbox Entertainment,953
QCF Design,952
Low Magic Studios,951
Hanako Games,950
Frogmind,949
Thomas Brush,947
Locked Door Puzzle,929
Vox Games,915
Press Play,915
10tons Ltd,914
Glowstick Entertainment,914
Cornfox & Bros.,902
The Farm 51,902
Andrii Vintsevych,900
Suits & Sandals,899
Lavaboots Studios,894
Dynamic Pixels,891
Numinous Games,886
ATLUS,886
Cockroach Inc.,883
7DOTS,881
Blendo Games,877
"Laser Guided Games, LLC",869
Jasper Byrne,866
Tiger Style,859
3f Interactive,858
Foxoft,856
Radical Phi,853
Yai Gameworks,852
Alice & Smith,850
Lizardcube,849
Cloak and Dagger Games,849
SIGONO INC.,847
Code Club AB,846
NukGames,845
Dagestan Technology,842
Aldorlea Games,842
Indomitus Games,836
Underdog Games,835
Hydravision Entertainment,827
Strange Fire,819
Zoetrope Interactive,817
Eastshade Studios,812
"YGGDRAZIL GROUP CO.,LTD",808
Owlchemy Labs,803
RLR Training Inc,803
Statespace,792
ComonGames,790
Alawar Entertainment,786
艺龙游戏,785
VIS-Games,782
Tin Man Games,778
Blue Brain Games,775
Forever Entertainment S. A.,775
Nyamyam,771
Crystal Shard,768
Technocrat Games,768
State of Play Games,766
Sluggerfly,766
Team Eleven,764
Acerola,764
Limasse Five,759
Team Reptile,758
Kyy Games,752
Other Tales Interactive,751
AurumDust,751
BKOM Studios,748
Cyan Worlds,746
Aterdux Entertainment,745
Big Finish Games,744
Finish Line Games,738
Vectorpark,736
Team Shifty,734
Exordium Games,734
Permadeath,734
Lesley Dodd,732
"JW, Kitty, Jukio, and Dom",732
Cyberdreams,730
BlueEagle Productions,729
Novectacle,729
Blue Giraffe,726
Darkelite Studio Inc,725
PlayFlock,724
Virtual Basement LLC,717
Hitcents,713
The Working Parts,711
Kudosoft,709
KOGADO STUDIO,708
LOVIGAME,701
Zoink Games,697
あみそ組,694
Guru Games,694
Baroque Decay,691
Bird in Sky,690
Bedtime Digital Games,689
Fiddlesticks Games,689
Scott Cawthon,683
Flashbulb,682
Variable State,674
AQUASTYLE,672
WeShare Game Studio,672
Mandragora,672
Anteater Games,672
Thunder Devs.,672
Spacelight Studio,671
Legend Studio,671
Grynsoft,670
CharlieH,669
Choice of Games,669
D3T,667
Wonderstruck,667
The Story Mechanics,665
Storybird,663
Krealit,662
Myshkin Entertainment,661
Ubisoft  Shanghaï,660
Loiste Interactive,659
Trinity Team srls,658
Jacob Janerka,658
Interdimensional Games Inc,654
Diminished Studios,651
Spooky Doorway,648
Digdog Studio,648
Ice-Pick Lodge,643
Convoy Games,642
White Rabbit,640
Andrew Morrish,635
△○□× (Miwashiba),633
"MidBoss, LLC.",632
"Nerve Software, Gearbox Software, LLC",629
Stress Level Zero,629
Talentplace,628
Studio Fizbin,627
Cheerdealers,626
#workshop,624
Hosted Games,623
Night Light Interactive,615
Fishcow Studio,615
Simple Ghost,611
Burning Daylight Team,611
阿正不经,609
Space Boat Studios,607
SP-time,606
Iron Galaxy Studios,605
Liar-soft,600
Siege Games,598
"M2 Co.,LTD",597
Mi-Clos Studio,596
Grid Sage Games,593
"Shanghai JingCai Computer Software Development Co., Ltd",589
Gaijin Entertainment,585
MoaCube,584
Sumo Digital,584
Last Bastion Studios LLC,583
HeR Interactive,583
The House of Fables,581
Valera Entertainment,580
Threaks,578
ZOV GAME STUDIO,577
Mad Head Games,577
Benjamin Rivers Inc.,575
Flying Cafe for Semianimals,573
MOONSTONE,572
Lucky Pause,570
Conan McPhee,570
S.C. 16 BIT NIGHTS S.R.L.,563
Hothead Games,559
OneShark,557
Slak Games,557
MEGAFUZZ,555
Ivan Zanotti's MyMadnessWorks,550
Stormind Games,549
FiolaSoft Studio,549
Charm Games,548
Chandler Rounsley,547
Royal Troupe,546
Pirate Software,545
Dogenzaka Lab,545
Bmc Studio,545
LKA,545
Microblast Games,543
Villa Gorilla,542
Streum On Studio,542
Sunward Games,541
Two Tribes,541
Mango Protocol,539
Play Cute,537
Ellada Games,534
"CAPCOM CO., LTD.",533
橙光游戏,532
Desert Fox,531
Spotlightor Interactive,529
CUTE ANIME GIRLS,527
Red Obsidian Studio,526
IonFx,521
RAC7 Games,519
Yuzusoft,519
DigiFX Interactive,517
Zojoi,517
Cats Who Play,516
Stegosoft Games,515
Puzzling Dream,513
Seventh Heart Studios,510
Phoenix Online Studios,510
World-Loom,509
CBE Software s.r.o.,507
Wales Interactive,507
B52 Development Team,504
Wolf & Wood Interactive Ltd,504
Studio Pixel,503
Grizlikyt,502
ULTRA ULTRA,501
Orthogonal Games,501
DreaMory,500
varlamov5264,499
Oxeye Game Studio,493
Sapphire Dragon Productions,493
Human Head Studios,491
属音制作组,490
Straight Right,490
Sierra,490
Technomancy Studios,490
Artefacts Studios,485
Polyarc,485
Straywire,485
Google Inc.,484
Brave Giant LTD,484
Cherrymochi,483
灰烬天国,479
Neoclassic Games,478
Fourattic,478
Flying Helmet Games,478
Fictiorama Studios,477
Buka Development,477
PolyKid,475
Hex Entertainment,475
Adventurepro Games LLC,475
Anatoliy Loginovskikh,475
AKATSUKI-WORKS,473
Brave Rabbit Games,471
Dingo Games,471
Perfectly Paranormal,469
Another Story,467
Sand Sailor Studio,467
Ithaqua Labs,466
Owl Cave,466
Yakiniku Banzai,465
Shadow Planet Productions,464
Pilgrim Adventures,462
Chaosoft Games,461
Bulbware,459
CCCP,457
ColloseusX,456
Juppiomenz,456
Craneballs,456
Psytec Games Ltd,455
Shining Gate Software,455
5Wolf,454
"TALESSHOP Co., Ltd.",453
Carbon,452
EQ Studios,451
Yangyang Mobile,450
Stanislaw Truchowski,449
Blackjard Softworks,449
Liquid Flower,448
DotEmu,443
Cranberry Production,443
Dark Energy Digital Ltd.,443
My Dog Zorro,441
Nexus Game Studios,438
Triangle Studios,438
Peach Pie Productions,438
Immersive VR Education Ltd.,436
Lunar Ray Games,436
A Crowd of Monsters,434
Dischan Media,433
