developer,votes
Rainbow Duck,7
Foxie Games,7
Bacq Stellan,7
2DArray,7
Snkl Studio,7
Simon Blasen,7
GraphicDNA,6
Yvo Geldhof,6
Ninja Whale Studios,6
Stephen Lawrence Clark,6
VRoximity LLC,6
Anarquico,6
The Major Game Company,6
Fabricated Reality Software,6
Team in Time,6
Gametroleum,6
Plectrum Software,6
ELIOT,6
Ratloop Games Canada,6
Pocket Queries,6
WS net,6
Adrenasoft Studios,6
Blossom Games,6
Pronetis Games,5
Mitch Kuronya,5
Cooply Solutions,5
Flyleap Studios,5
Skyjaz Games,5
Tarboosh Games,5
FurGoldGames,5
Voltornas Games,5
Frogames,5
CREATIV GAME DEVELOPER LLC.,5
VisionWard LLC,5
Pixel Fyzz,5
Neobite Games,5
Jadefire Gaming,5
Denis Lapiner,5
Team Bravo Limited,5
Inane Games,5
RedForce Games,5
Parallax Labs,5
SAARSE,5
Frutgamestudios,4
Cybertime System,4
Climax Studios,4
视趣互动,4
Levrage,4
Hertzole,4
Blue Comet Games,4
TrailAscender,4
Depth First Games,4
DCGsoft,4
TCHOW,4
Radiance Games,4
"IKI STUDIOS, LLC",4
Johan Hammes,4
squatnine,4
Prime VR Inc.,4
Hypercane Studios,4
crimsonearthgames,4
Cliax Games,4
Team Pea,4
Tim McArthur,4
Otterly Bearable Games,4
OKSoft,4
WaVR,4
Three Souls Interactive,4
Minindustries Game Factory,4
Firehawk Studios,4
Suchworks Ltd,3
Uborm,3
Petrolhead software,3
Rifat Erdoğan,3
Alexandre SK,3
NURENDSOFT: Jordi Ramon Games,3
Gunnevik,3
Outlaw,3
BoneCracker Games,3
ejew.in,3
DragonJam Studios,3
A Nostru,3
Wombatgames,3
Framefield GmbH,3
Josh Tam Universe,3
哈视奇科技,3
RobotKSR,3
WeRock,3
Léo-Paul LACHARTRE,3
EvilCharm Games,3
Pixel Edge Games,3
NRDSlab,3
Manic Machine,3
Growl Interactive,3
Spectre EU,3
RAINGRAPH,3
Harald Wiestner - farbWERK,3
exDream,3
Ghostbolt Games,3
André Bertaglia,3
Kenny Roy,3
eiloware,2
hOSHI,2
Dance studio mix,2
games.Sharbit,2
Fabio Adamo,2
Illusion Foundry Inc.,2
Royal Polygon,2
DEtH_MoroZ,2
ARC SYSTEM WORKS,2
Crystalline Green Ltd.,2
TAS Systems,2
Vtree LLC,2
Smartmove,2
Canalside Studios,2
Galaxy Game Studio,2
Bluestrike,2
Munkyfoot Gaming,2
